,date,confirmed_United Kingdom,Open_United Kingdom_FTSE 100,Close_United Kingdom_FTSE 100,rate_United Kingdom,confirmed_Germany,Open_Germany_DAX,Close_Germany_DAX,rate_Germany,confirmed_France,Open_France_CAC 40,Close_France_CAC 40,rate_France,confirmed_Italy,Open_Italy_FTSE MIB,Close_Italy_FTSE MIB,rate_Italy,confirmed_Spain,Open_Spain_IBEX 35,Close_Spain_IBEX 35,rate_Spain,confirmed_Russia,Open_Russia_MOEX,Close_Russia_MOEX,rate_Russia,confirmed_Netherlands,Open_Netherlands_AEX ,Close_Netherlands_AEX ,rate_Netherlands,confirmed_Sweden,Open_Sweden_OMXS 30,Close_Sweden_OMXS 30,rate_Sweden,confirmed_India,Open_India_SENSEX,Close_India_SENSEX,rate_India,confirmed_Austria,Open_Austria_ATX ,Close_Austria_ATX ,rate_Austria,confirmed_Finland,Open_Finland_OMX Helsinki 25,Close_Finland_OMX Helsinki 25,rate_Finland,confirmed_Ireland,Open_Ireland_ISEQ,Close_Ireland_ISEQ,rate_Ireland,confirmed_US_x,Open_US_Dow Jones,Close_US_Dow Jones,rate_US,confirmed_US_y,Open_US_S&P 500,Close_US_S&P 500,rate_US,confirmed_Lithuania,Open_Lithuania_OMX Vilnius,Close_Lithuania_OMX Vilnius,rate_Lithuania,confirmed_Canada,Open_Canada_TSX,Close_Canada_TSX,rate_Canada,confirmed_Brazil,Open_Brazil_iBovespa,Close_Brazil_iBovespa,rate_Brazil,confirmed_Mexico,Open_Mexico_IPC Mexico,Close_Mexico_IPC Mexico,rate_Mexico,confirmed_Argentina,Open_Argentina_Merval,Close_Argentina_Merval,rate_Argentina,confirmed_Japan,Open_Japan_NIKKEI 225,Close_Japan_NIKKEI 225,rate_Japan,confirmed_China,Open_China_SHANGHAI,Close_China_SHANGHAI,rate_China,"confirmed_Korea, South","Open_Korea, South_KOSPI","Close_Korea, South_KOSPI","rate_Korea, South",confirmed_Indonesia,Open_Indonesia_JCI,Close_Indonesia_JCI,rate_Indonesia,confirmed_Australia_x,Open_Australia_ASX 50,Close_Australia_ASX 50,rate_Australia,confirmed_Australia_y,Open_Australia_ASX 200,Close_Australia_ASX 200,rate_Australia,confirmed_Australia,Open_Australia_Australian All,Close_Australia_Australian All,rate_Australia
0,2020-01-22,0,7610.700195,7571.899901999999,0.75,0,28.4,28.465,0.0,0,6053.850098,6010.97998,0.0,0,23888.0,23706.0,0.0,0,9622.0,9573.700195,0.0,0,3212.909912,3174.6201170000004,6.25,0,609.900024,611.5599980000001,0.0,0,1823.839966,1811.7600100000002,0.0,0,41467.128906,41115.378906,5.15,0,3158.76001,3154.699951,0.0,0,4365.709961,4352.100098,0.0,0,7139.390137,7170.459961,0.0,1,29263.630858999997,29186.269531,1.75,1,3330.02002,3321.75,1.75,0,739.169983,738.1400150000001,0.0,0,17570.300781,17599.900391,1.75,0,117035.0,118391.0,4.5,0,45658.660156,45604.441406,7.25,0,41485.859375,42002.339844,50.0,2,23835.490234,24031.349609,-0.1,548,3038.487061,3060.7548829999996,4.15,1,2238.530029,2267.25,1.25,0,6241.575195,6233.453125,6.5,0,7017.5,7081.899901999999,0.75,0,7066.299805,7132.700195,0.75,0,7180.799805,7249.0,0.75
1,2020-01-23,0,7571.899901999999,7507.700195,0.75,0,28.200001,28.275,0.0,0,5992.470215,5971.790039,0.0,0,23716.0,23707.0,0.0,0,9549.400391,9518.5,0.0,0,3162.679932,3141.199951,6.25,0,610.169983,605.619995,0.0,0,1809.430054,1795.430054,0.0,0,41191.5,41386.398438,5.15,0,3152.22998,3121.97998,0.0,0,4350.950195,4324.77002,0.0,0,7169.890137,7120.669922,0.0,1,29111.019531,29160.089844,1.75,1,3315.77002,3325.540039,1.75,0,738.1400150000001,739.1400150000001,0.0,0,17564.800781,17621.800781,1.75,0,118391.0,119528.0,4.5,0,45502.339844,45476.429688,7.25,0,42002.339844,41140.210938,50.0,2,23843.509766,23795.439453,-0.1,643,3037.951904,2976.528076,4.15,1,2254.540039,2246.1298829999996,1.25,0,6243.998047,6249.209961,6.5,0,7081.899901999999,7048.299805,0.75,0,7132.700195,7088.0,0.75,0,7249.0,7199.0,0.75
2,2020-01-24,0,7507.700195,7586.0,0.75,0,28.559998999999998,28.309998999999998,0.0,2,6019.600098,6024.259765999999,0.0,0,23848.0,23969.0,0.0,0,9576.799805,9562.0,0.0,0,3147.280029,3146.199951,6.25,0,610.5599980000001,614.23999,0.0,0,1798.290039,1812.8499760000002,0.0,0,41377.039063,41613.191406,5.15,0,3121.949951,3145.449951,0.0,0,4323.339844,4344.259765999999,0.0,0,7119.600098000001,7180.799805,0.0,2,29230.390625,28989.730469,1.75,2,3333.100098,3295.469971,1.75,0,739.25,740.780029,0.0,0,17629.400391,17565.300781,1.75,0,119528.0,118376.0,4.5,0,45493.96875,45141.621094,7.25,0,41140.210938,39917.820313,50.0,2,23850.119141,23827.179688,-0.1,920,,,4.15,2,,,1.25,0,6242.834961,6244.108886999999,6.5,0,7048.299805,7047.799805,0.75,0,7088.0,7090.5,0.75,0,7199.0,7203.200195,0.75
3,2020-01-25,0,,,0.75,0,,,0.0,3,,,0.0,0,,,0.0,0,,,0.0,0,,,6.25,0,,,0.0,0,,,0.0,0,,,5.15,0,,,0.0,0,,,0.0,0,,,0.0,2,,,1.75,2,,,1.75,0,,,0.0,0,,,1.75,0,,,4.5,0,,,7.25,0,,,50.0,2,,,-0.1,1406,,,4.15,2,,,1.25,0,,,6.5,0,,,0.75,0,,,0.75,0,,,0.75
4,2020-01-26,0,,,0.75,0,,,0.0,3,,,0.0,0,,,0.0,0,,,0.0,0,,,6.25,0,,,0.0,0,,,0.0,0,,,5.15,0,,,0.0,0,,,0.0,0,,,0.0,5,,,1.75,5,,,1.75,0,,,0.0,1,,,1.75,0,,,4.5,0,,,7.25,0,,,50.0,4,,,-0.1,2075,,,4.15,3,,,1.25,0,,,6.5,4,,,0.75,4,,,0.75,4,,,0.75
5,2020-01-27,0,7586.0,7412.100098000001,0.75,1,27.629998999999998,27.705999,0.0,3,5924.060059,5863.02002,0.0,0,23713.0,23416.0,0.0,0,9447.099609,9366.299805,0.0,0,3123.709961,3085.159912,6.25,0,605.909973,598.6900019999999,0.0,0,1808.030029,1771.47998,0.0,0,41510.679688,41155.121094,5.15,0,3146.110107,3098.439941,0.0,0,4327.450195,4246.680176,0.0,0,7177.919922,7056.029785,0.0,5,28542.490233999997,28535.800781,1.75,5,3247.159912,3243.6298829999996,1.75,0,739.76001,734.070007,0.0,1,17376.800781,17442.5,1.75,0,118347.0,114482.0,4.5,0,44802.730469,44134.390625,7.25,0,39917.820313,39604.570313,50.0,4,23427.900391,23343.509766,-0.1,2877,,,4.15,4,,,1.25,0,6240.817871,6133.208008,6.5,5,,,0.75,5,,,0.75,5,,,0.75
6,2020-01-28,0,7412.100098000001,7480.700195,0.75,4,27.629998999999998,27.879998999999998,0.0,4,5886.810059,5925.819824,0.0,0,23545.0,24028.0,0.0,0,9401.799805,9484.200195,0.0,0,3097.709961,3113.100098,6.25,0,601.039978,602.960022,0.0,0,1773.040039,1786.3499760000002,0.0,0,41299.679688,40966.859375,5.15,0,3098.340088,3119.570068,0.0,0,4251.25,4323.930176,0.0,0,7056.97998,7078.299805,0.0,5,28594.279297000005,28722.849608999997,1.75,5,3255.350098,3276.23999,1.75,0,734.200012,732.8599849999999,0.0,2,17475.0,17500.900391,1.75,0,114482.0,116479.0,4.5,0,44206.679688,44717.941406,7.25,0,39604.570313,40829.699219,50.0,7,23126.929688,23215.710938,-0.1,5509,,,4.15,4,2192.219971,2176.719971,1.25,0,6111.184082,6111.184082,6.5,5,6958.700195,6981.100098000001,0.75,5,6994.5,7023.5,0.75,5,7098.399901999999,7129.299805,0.75
7,2020-01-29,0,7480.700195,7483.600098000001,0.75,4,27.940001000000002,27.855,0.0,5,5921.970215,5954.890136999999,0.0,0,24053.0,24165.0,0.0,0,9532.700195,9546.700195,0.0,0,3125.909912,3128.800049,6.25,0,602.98999,605.219971,0.0,0,1790.25,1791.6700440000002,0.0,0,41131.570313,41198.660156,5.15,0,3119.790039,3133.530029,0.0,1,4321.759765999999,4315.410156,0.0,0,7076.660156,7169.25,0.0,6,28820.529297000005,28734.449219,1.75,6,3289.459961,3273.399902,1.75,0,735.630005,736.419983,0.0,2,17547.5,17511.800781,1.75,0,116494.0,115385.0,4.5,0,44858.378906,45132.601563,7.25,0,40829.699219,40341.421875,50.0,7,23309.320313,23379.400391,-0.1,6087,,,4.15,4,2188.179932,2185.280029,1.25,0,6123.095215,6113.044922,6.5,6,6958.700195,6991.299805,0.75,6,6994.5,7031.5,0.75,6,7098.399901999999,7135.899901999999,0.75
8,2020-01-30,0,7483.600098000001,7382.0,0.75,4,27.559998999999998,27.705,0.0,5,5886.02002,5871.77002,0.0,0,23892.0,23781.0,0.0,0,9460.799805,9477.900391,0.0,0,3108.3798829999996,3108.580078,6.25,0,599.27002,598.950012,0.0,0,1788.869995,1787.959961,0.0,1,41380.140625,40913.820313,5.15,0,3132.889893,3101.47998,0.0,1,4306.0,4322.740234000001,0.0,0,7167.040039,7078.77002,0.0,6,28640.160156,28859.439452999995,1.75,6,3256.449951,3283.659912,1.75,0,734.130005,733.820007,0.0,2,17429.599609,17490.599609,1.75,0,115375.0,115528.0,4.5,0,45088.101563,44862.761719,7.25,0,40341.421875,40394.949219,50.0,11,23284.580078,22977.75,-0.1,8141,,,4.15,4,2181.540039,2148.0,1.25,0,6057.596191,6057.596191,6.5,9,6975.200195,6975.200195,0.75,9,7031.299805,7008.399901999999,0.75,9,7108.600098000001,7108.600098000001,0.75
9,2020-01-31,2,7382.0,7286.0,0.75,5,27.379998999999998,27.1,0.0,5,5891.709961,5806.339844,0.0,2,23863.0,23237.0,0.0,0,9519.299805,9367.900391,0.0,2,3133.399902,3076.649902,6.25,0,601.530029,589.5,0.0,0,1788.660034,1783.2600100000002,0.0,1,41146.558594,40723.488281,5.15,0,3100.919922,3074.310059,0.0,1,4325.02002,4300.080078,0.0,0,7078.25,6998.200195,0.0,8,28813.039063,28256.029297000005,1.75,8,3282.330078,3225.52002,1.75,0,734.539978,734.409973,0.0,4,17442.300781,17318.5,1.75,0,115518.0,113761.0,4.5,0,44759.898438,44108.308594,7.25,0,40394.949219,40105.039063,50.0,15,23148.919922,23205.179688,-0.1,9802,,,4.15,11,2160.600098,2119.01001,1.25,0,6076.458984000001,5940.047852000001,6.5,9,6975.200195,6975.700195,0.75,9,7008.399901999999,7017.200195,0.75,9,7108.600098000001,7121.200195,0.75
